exp_id,seed,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_units
E66,42,C-triplet,0.6560376882553101,nan,0.8246195912361145,nan,-0.22427594661712646,nan,49_LOOCV
E60,123,C-hole,0.4496082663536072,nan,0.6764097213745117,nan,-0.8592747449874878,nan,53_LOOCV
E60,123,C-triplet,0.7223961353302002,nan,0.8843651413917542,nan,-0.408105731010437,nan,49_LOOCV
E61,123,A_5fold,0.16983751952648163,0.014440764673054218,0.23746199905872345,0.017292743548750877,0.6821091771125793,0.035754598677158356,5_folds
E61,123,B_5fold,0.099146269261837,0.001888361293822527,0.15275520086288452,0.004795206245034933,0.7700079083442688,0.014656134881079197,5_folds
E61,123,C-hole,0.39286619424819946,nan,0.5246781706809998,nan,-0.1186903715133667,nan,53_LOOCV
E61,123,C-triplet,0.7600977420806885,nan,0.9595670700073242,nan,-0.6577640771865845,nan,49_LOOCV
E62,123,A_5fold,0.17528210580348969,0.012978645972907543,0.24166348576545715,0.014009430073201656,0.6708990335464478,0.029360167682170868,5_folds
E62,123,B_5fold,0.09749145060777664,0.0033426519948989153,0.15225271880626678,0.00677856570109725,0.7712828516960144,0.02014298364520073,5_folds
E62,123,C-hole,0.3927202820777893,nan,0.5316630601882935,nan,-0.1486741304397583,nan,53_LOOCV
E62,123,C-triplet,0.7863612174987793,nan,1.0092792510986328,nan,-0.8339805603027344,nan,49_LOOCV
E63,123,A_5fold,0.15170542895793915,0.006618998479098082,0.2109912931919098,0.009329386055469513,0.7490116953849792,0.020631272345781326,5_folds
E63,123,B_5fold,0.08647948503494263,0.000650178175419569,0.13036532700061798,0.002364712068811059,0.8325842022895813,0.006961202248930931,5_folds
E63,123,C-hole,0.3885611891746521,nan,0.5249273777008057,nan,-0.11975336074829102,nan,53_LOOCV
E63,123,C-triplet,0.7682444453239441,nan,0.9413063526153564,nan,-0.5952693223953247,nan,49_LOOCV
E66,123,A_5fold,0.15724721550941467,0.0070571741089224815,0.22034403681755066,0.008913321420550346,0.726714551448822,0.013587682507932186,5_folds
E66,123,B_5fold,0.07980769872665405,0.0030629432294517756,0.11954151093959808,0.005184605251997709,0.859017014503479,0.012291094288229942,5_folds
E66,123,C-hole,0.3997255861759186,nan,0.5470572710037231,nan,-0.21615660190582275,nan,53_LOOCV
E66,123,C-triplet,0.6771802306175232,nan,0.8471506834030151,nan,-0.29209160804748535,nan,49_LOOCV
E60,456,C-hole,0.43868765234947205,nan,0.6407222151756287,nan,-0.6682590246200562,nan,53_LOOCV
E60,456,C-triplet,0.8055218458175659,nan,0.9374875426292419,nan,-0.5823519229888916,nan,49_LOOCV
E61,456,A_5fold,0.17403873801231384,0.011085635982453823,0.24074116349220276,0.014935748651623726,0.6733199954032898,0.03216637298464775,5_folds
E61,456,B_5fold,0.09837345778942108,0.002248679520562291,0.1511017084121704,0.006022299639880657,0.7747056484222412,0.0191761814057827,5_folds
E61,456,C-hole,0.40309005975723267,nan,0.5599762797355652,nan,-0.2742748260498047,nan,53_LOOCV
E61,456,C-triplet,0.7736220359802246,nan,0.9685425162315369,nan,-0.688921332359314,nan,49_LOOCV
E62,456,A_5fold,0.1723584532737732,0.008147761225700378,0.2412061244249344,0.011091281659901142,0.671524167060852,0.03226224333047867,5_folds
