filter,n,SchNet_R2,SchNet_MAE,GIN_R2,GIN_MAE
n_N>=1 & no_O,25,0.28602568544032825,0.3403,-0.09405067573927717,0.4983760000000001
n_cyano>=2 & chrg_hi,14,0.28569362698514333,0.18054285714285712,0.3306329950752347,0.23205714285714288
n_cyano>=1 & chrg_hi,14,0.28569362698514333,0.18054285714285712,0.3306329950752347,0.23205714285714288
n_N>=1 & rot=0,26,0.2796926517994851,0.2681576923076923,0.10317491866536632,0.33596923076923074
n_N>=2 & rot=0,26,0.2796926517994851,0.2681576923076923,0.10317491866536632,0.33596923076923074
n_N>=2 & chrg_lo,19,0.27000089296749985,0.34876842105263156,-0.09783884347837457,0.5004578947368422
n_N>=1 & chrg_lo,19,0.27000089296749985,0.34876842105263156,-0.09783884347837457,0.5004578947368422
bertz_hi,28,0.26894903560087113,0.31169642857142854,-0.10471462908081541,0.43812499999999993
bertz_hi & HA>=14,28,0.26894903560087113,0.31169642857142854,-0.10471462908081541,0.43812499999999993
bertz_hi & has_5ring,28,0.26894903560087113,0.31169642857142854,-0.10471462908081541,0.43812499999999993
rot=0 & no_O,24,0.2675779277585256,0.29612916666666667,0.06474620351541249,0.3718333333333333
n_N>=2 & bertz_hi,25,0.25635867456006245,0.31701599999999996,-0.12804375402880774,0.4575200000000001
n_N>=1 & bertz_hi,25,0.25635867456006245,0.31701599999999996,-0.12804375402880774,0.4575200000000001
n_N>=1 & n_het>=6,10,0.25488465157820706,0.31277999999999995,-0.2720625051971135,0.42497999999999997
n_N>=2 & n_het>=6,10,0.25488465157820706,0.31277999999999995,-0.2720625051971135,0.42497999999999997
TPSA_hi & n_het>=6,10,0.25488465157820706,0.31277999999999995,-0.2720625051971135,0.42497999999999997
n_cyano>=2 & rot=0,20,0.25100432792129757,0.28611,0.053007214670413694,0.36035500000000004
n_cyano>=1 & rot=0,20,0.25100432792129757,0.28611,0.053007214670413694,0.36035500000000004
n_N>=2 & has_5ring,37,0.24973636249776054,0.30396486486486485,-0.0449119382645955,0.40432702702702705
n_N>=1,37,0.24973636249776054,0.30396486486486485,-0.0449119382645955,0.40432702702702705
n_N>=2,37,0.24973636249776054,0.30396486486486485,-0.0449119382645955,0.40432702702702705
n_N>=1 & has_5ring,37,0.24973636249776054,0.30396486486486485,-0.0449119382645955,0.40432702702702705
n_N>=1 & n_N>=2,37,0.24973636249776054,0.30396486486486485,-0.0449119382645955,0.40432702702702705
HA>=14 & no_O,20,0.24361814368744028,0.37528000000000006,-0.17290198807320478,0.54696
n_het>=4,32,0.23174153506160544,0.295065625,-0.07365744492968052,0.38265937499999997
has_5ring & n_het>=4,32,0.23174153506160544,0.295065625,-0.07365744492968052,0.38265937499999997
no_O & has_5ring,33,0.23102818988347396,0.33894545454545455,-0.08364974306194828,0.44853939393939396
