molecule,neutral_n_conf,cation_n_conf,triplet_n_conf,neutral_conf,cation_conf,triplet_conf,E_S0_Eh,neutral_method,neutral_log,neutral_normal_term,E_cation_Eh,cation_method,cation_log,cation_normal_term,E_T1opt_Eh,triplet_method,triplet_log,triplet_normal_term,S1_vert_eV,S1_vert_log,T1_vert_eV,T1_vert_log,delta_EST_eV,IP_adiabatic_eV,E_ST_adiabatic_eV,E_S0_at_T1geom_Eh,lambda1_S0_eV,lambda2_T1_eV,lambda_T_total_eV,lambda_h_total_eV,lambda_h_note
5ring_nph3_3ring_NO,0,7,6,,conf_1,conf_4,,,,,-1361.33753870,UwB97XD,imaginary_corrected.log,True,-1361.59923340,UwB97XD,ground.log,True,,,,,,,,-1361.57402210,,,,,需要交叉构型单点计算
5ring_npme3,3,8,8,conf_2,conf_1,conf_3,-1338.87724280,RwB97XD,ground.log,True,-1338.72617750,UwB97XD,ground.log,True,-1338.84208000,UwB97XD,ground.log,True,3.06620000,s0_s1.log,2.04680000,s0_t1.log,1.01940000,4.11069619,0.95682852,-1338.80629500,1.93058797,1.08997148,3.02055945,,需要交叉构型单点计算
5ring_npme3_3ring_CN,10,10,10,conf_1,conf_2,conf_1,-1523.35262190,RwB97XD,ground.log,True,-1523.18073970,UwB97XD,continued_opt.log,True,-1523.36632230,UwB97XD,ground.log,True,1.38610000,s0_s1.log,1.38020000,s0_t1.log,0.00590000,4.67715289,-0.37280687,-1523.31620150,0.99104956,1.75300687,2.74405644,,需要交叉构型单点计算
5ring_oh_3ring_bh2_in,9,4,2,conf_2,conf_1,conf_1,-509.66383950,RwB97XD,ground.log,True,-509.44481600,UwB97XD,ground.log,True,-509.66286970,UwB97XD,ground.log,True,2.95020000,s0_s1.log,2.19900000,s0_t1.log,0.75120000,5.95993300,0.02638960,-509.61250000,1.39701895,2.17261040,3.56962935,,需要交叉构型单点计算
5ring_oh_3ring_cf3_sp,5,4,8,conf_2,conf_1,conf_1,-1132.96771710,RwB97XD,ground.log,True,-1132.73212850,UwB97XD,ground.log,True,-1132.94834180,UwB97XD,ground.log,True,3.26020000,s0_s1.log,2.09180000,s0_t1.log,1.16840000,6.41069233,0.52722877,-1132.89500000,1.97873308,1.56457123,3.54330431,,需要交叉构型单点计算
5ring_oh_3ring_cn_both,6,6,8,conf_1,conf_1,conf_1,-793.69398070,RwB97XD,imaginary_corrected.log,True,-793.45716320,UwB97XD,ground.log,True,-793.68610740,UwB97XD,ground.log,True,2.29020000,s0_s1.log,1.71040000,s0_t1.log,0.57980000,6.44413240,0.21424341,-793.65000000,1.19677580,1.49615659,2.69293240,,需要交叉构型单点计算
5ring_oh_3ring_cn_in,3,2,3,conf_1,conf_1,conf_1,-643.23524660,RwB97XD,ground.log,True,-642.99011440,UwB97XD,ground.log,True,-643.22494380,UwB97XD,ground.log,True,2.26530000,s0_s1.log,1.94700000,s0_t1.log,0.31830000,6.67038692,0.28035347,-643.18142330,1.46460659,1.66664653,3.13125312,,需要交叉构型单点计算
5ring_oh_3ring_cn_out,4,3,3,conf_3,conf_1,conf_1,-643.24150240,RwB97XD,imaginary_corrected.log,True,-642.96559710,UwB97XD,ground.log,True,-643.21086680,UwB97XD,ground.log,True,2.55590000,s0_s1.log,1.57710000,s0_t1.log,0.97880000,7.50776562,0.83363714,-643.21146571,0.81733999,0.74346286,1.56080286,,需要交叉构型单点计算
5ring_oh_both,6,7,10,conf_1,conf_2,conf_7,-609.22948000,RwB97XD,imaginary_corrected.log,True,-609.02002770,UwB97XD,imaginary_corrected.log,True,-609.23344630,UwB97XD,ground.log,True,3.63340000,s0_s1.log,2.35890000,s0_t1.log,1.27450000,5.69948738,-0.10792852,-609.23476230,-0.14373870,2.46682852,2.32308982,,需要交叉构型单点计算
5ring_oh_in,3,3,7,conf_1,conf_1,conf_6,-458.77300000,RwB97XD,ground.log,True,-458.55560030,UwB97XD,ground.log,True,-458.75652270,UwB97XD,ground.log,True,3.52690000,s0_s1.log,2.33090000,s0_t1.log,1.19600000,5.91574715,0.44837017,-458.76477760,0.22374285,1.88252983,2.10627268,,需要交叉构型单点计算
