experiment_id,phase,seed,pseudo_task_id,method,target,fold,n_train,n_test,label_transform,MAE,RMSE,R2,elapsed_sec
label_scale_stress,phase1,1000,S1_target,fedavg_no_cal,S1_target,0,80,20,identity,0.27443463,0.32155064,0.10925239,15.814579010009766
label_scale_stress,phase1,1000,S1_target,fedavg_no_cal,S1_target,1,80,20,identity,0.31209245,0.34892562,-0.66329336,15.80133843421936
label_scale_stress,phase1,1000,S1_target,fedavg_no_cal,S1_target,2,80,20,identity,0.3284126,0.37092316,-1.8659928,15.860395908355713
label_scale_stress,phase1,1000,S1_target,fedavg_no_cal,S1_target,3,80,20,identity,0.35465646,0.4407553,0.31873208,15.839844226837158
label_scale_stress,phase1,1000,S1_target,fedavg_no_cal,S1_target,4,80,20,identity,0.27520213,0.3688201,0.10712409,15.977641820907593
label_scale_stress,phase1,1000,S1_target,fedper,S1_target,0,80,20,identity,0.25894096,0.3236273,0.097709835,15.844218969345093
label_scale_stress,phase1,1000,S1_target,fedper,S1_target,1,80,20,identity,0.7470985,0.83452916,-8.514505,15.877906560897827
label_scale_stress,phase1,1000,S1_target,fedper,S1_target,2,80,20,identity,0.3581423,0.47184172,-3.6376705,15.789976835250854
label_scale_stress,phase1,1000,S1_target,fedper,S1_target,3,80,20,identity,0.24135514,0.315723,0.65042907,15.891831159591675
label_scale_stress,phase1,1000,S1_target,fedper,S1_target,4,80,20,identity,0.2634126,0.33497125,0.26349282,15.72464656829834
label_scale_stress,phase1,1000,S1_target,fedper_cal,S1_target,0,80,20,identity,0.2101628,0.27297562,0.3580463,15.818093538284302
label_scale_stress,phase1,1000,S1_target,fedper_cal,S1_target,1,80,20,identity,0.35964584,0.53500926,-2.9104416,15.865582466125488
label_scale_stress,phase1,1000,S1_target,fedper_cal,S1_target,2,80,20,identity,0.17360829,0.24016611,-0.20151901,15.849750995635986
label_scale_stress,phase1,1000,S1_target,fedper_cal,S1_target,3,80,20,identity,0.2644246,0.36250776,0.53915226,15.855250597000122
label_scale_stress,phase1,1000,S1_target,fedper_cal,S1_target,4,80,20,identity,0.36122933,0.4751278,-0.48177683,15.789045333862305
